Rok,IČO,Název IČO,IČZ,Název IČZ,IČP,Název IČP,"Kód nasmlouvané odbornosti",Název odbornosti,Typ nasmlouvané odbornosti,"Kód ZP",Parametr,"Hodnota 2023"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5F1,akutní LP chirurgie - typ F,H,201,Počet lůžek,36
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,,211,Počet lůžek,36
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,,213,Počet lůžek,36
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,H,207,Počet lůžek,36
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5F1,akutní LP chirurgie - typ F,H,201,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,,201,Počet OD,323
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,,209,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,,211,Počet OD,553
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,V,205,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002045,Chirurgické oddělení,5H1,akutní LP chirurgie - typ H,H,111,Počet lůžek,20
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002065,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002065,Nemocnice Milosrdných sester sv. Karla ,3H5,akutní LP psychiatrie - typ H,,213,Počet OD,x
