Okres,Obec,0-14_let_celkem,0-14_let_muzi,0-14_let_zeny,15-64_let_celkem,15-64_let_muzi,15-64_let_zeny,65+_let_celkem,65+_let_muzi,65+_let_zeny,Prumerny_vek_celkem,Prumerny_vek_muzi,Prumerny_vek_zeny,Index_stari
Okres Kutná Hora,Staňkovice,17.17557252,17.55725191,16.79389313,57.63358779,60.30534351,54.96183206,25.19083969,22.13740458,28.24427481,44.5648855,43.3778626,45.7519084,146.6666667
Okres Kutná Hora,Starkoč,9.74025974,9.411764706,10.14492754,65.58441558,70.58823529,59.42028986,24.67532468,20,30.43478261,47.54545455,45.65294118,49.87681159,253.3333333
Okres Kutná Hora,Sudějov,9.756097561,7.5,11.9047619,68.29268293,75,61.9047619,21.95121951,17.5,26.19047619,45.87804878,47.225,44.5952381,225
Okres Kutná Hora,Suchdol,13.85165326,14.89726027,12.71028037,65.23681859,66.60958904,63.73831776,20.91152815,18.49315068,23.55140187,44.57238606,43.50171233,45.7411215,150.9677419
Okres Kutná Hora,Svatý Mikuláš,18.61648016,20.20833333,17.09741551,61.44455748,61.45833333,61.43141153,19.93896236,18.33333333,21.47117296,41.79908444,41.25,42.32306163,107.1038251
Okres Kutná Hora,Šebestěnice,15.85365854,10.81081081,20,60.97560976,64.86486486,57.77777778,23.17073171,24.32432432,22.22222222,48.3902439,51.7972973,45.58888889,146.1538462
Okres Kutná Hora,Štipoklasy,15.10791367,14.28571429,15.94202899,58.99280576,65.71428571,52.17391304,25.89928058,20,31.88405797,45.24820144,44.07142857,46.44202899,171.4285714
Okres Kutná Hora,Třebešice,16.72025723,16.23376623,17.19745223,64.63022508,65.58441558,63.69426752,18.64951768,18.18181818,19.10828025,40.99839228,40.91558442,41.07961783,111.5384615
Okres Kutná Hora,Třebětín,16.66666667,17.46031746,15.68627451,52.63157895,58.73015873,45.09803922,30.70175439,23.80952381,39.21568627,47.1754386,43.69047619,51.48039216,184.2105263
Okres Kutná Hora,Třebonín,13.53383459,13.04347826,14.0625,65.41353383,69.56521739,60.9375,21.05263158,17.39130435,25,45.97368421,45.63043478,46.34375,155.5555556
Okres Kutná Hora,Tupadly,19.33139535,20.9039548,17.66467066,59.88372093,61.29943503,58.38323353,20.78488372,17.79661017,23.95209581,41.36918605,39.34180791,43.51796407,107.518797
Okres Kutná Hora,Uhlířské Janovice,15.07505589,17.208413,12.93213828,60.77930374,62.1414914,59.41101152,24.14564037,20.6500956,27.65685019,44.46965826,41.98311026,46.96734955,160.1694915
Okres Kutná Hora,Úmonín,14.54880295,13.87900356,15.26717557,63.35174954,65.48042705,61.06870229,22.09944751,20.6405694,23.66412214,44.77808471,44.56049822,45.01145038,151.8987342
Okres Kutná Hora,Úžice,17.13900135,18.96103896,15.16853933,60.18893387,58.7012987,61.79775281,22.67206478,22.33766234,23.03370787,43.82118758,43.18571429,44.50842697,132.2834646
